📥  LANETKEL — SPONSOR & DIŞ GELİR TABLOSU,,,,,,,,,,,,,,,,,
"Toplam 68 anlaşma  ·  $371,199 toplam gelir  ·  Firma bazlı + Ay bazlı + Tarih detayı",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
📊  AY BAZLI GELİR ÖZETİ,,,,,,,,,,,,,,,,,
#,Dönem,,,Oca,Şub,Mar,Nis,May,Haz,Tem,Ağu,Eyl,Eki,Kas,Ara,"YILLIK
TOPLAM",Anlaşma Sayısı
1,2025 Sponsor Gelirleri,Tüm Anlaşmalar,✅ / 🔄,,,54.000 $,15.500 $,16.000 $,11.000 $,37.500 $,33.700 $,30.499 $,28.000 $,23.000 $,35.500 $,284.699 $,58 anlaşma
2,2026 Sponsor Gelirleri,Devam Eden Anlaşmalar,✔️ Aktif,26.500 $,34.000 $,22.000 $,,,,,,,10.000 $,,,92.500 $,9 anlaşma
TOPLAM GELİR (2025+2026),,,,26.500 $,34.000 $,76.000 $,15.500 $,16.000 $,11.000 $,37.500 $,33.700 $,30.499 $,38.000 $,23.000 $,35.500 $,377.199 $,68 anlaşma
,,,,,,,,,,,,,,,,,
🏢  FİRMA BAZLI GELİR DETAYI,,,,,,,,,,,,,,,,,
#,Firma Adı,Mecra,Durum ▼,Oca,Şub,Mar,Nis,May,Haz,Tem,Ağu,Eyl,Eki,Kas,Ara,TOPLAM $,Not
1,Betcom,Website+SosyalMedya+Telegram+Y,❌ Sona Erdi,,,45.000 $,,,,,,,,,,45.000 $,
2,TRbet,Website+SosyalMedya+Telegram,✔️ Anlaşma,,,4.000 $,4.000 $,,,4.000 $,4.000 $,4.000 $,4.000 $,4.000 $,4.000 $,32.000 $,
3,Madridbet,Website,❌ Sona Erdi,,,,,,,4.000 $,6.000 $,,9.500 $,9.500 $,,29.000 $,
4,Pusulabet,Website,❌ Sona Erdi,,,,5.000 $,5.000 $,5.000 $,3.500 $,3.200 $,3.000 $,3.000 $,,,27.700 $,
5,PasaCasino,Website VIP,❌ Sona Erdi,,,,,,,17.000 $,10.000 $,,,,,27.000 $,
6,MersoBahis,Website,✔️ Anlaşma,10.000 $,,,,,,4.000 $,,,,,,14.000 $,
7,Betra,Website,✔️ Anlaşma,,14.000 $,,,,,,,,,,,14.000 $,
8,Atlasbet,Website,✔️ Anlaşma,,,,,,,,,,,,12.500 $,12.500 $,
9,Betplay,Website,✔️ Anlaşma,,,,,,,,,,,,12.500 $,12.500 $,
10,Betpuan,Website,✔️ Anlaşma,12.000 $,,,,,,,,,,,,12.000 $,
11,Ganobet,Website,❌ Sona Erdi,,,,,,,,,,6.500 $,5.000 $,,11.500 $,
12,Grandpashabet,Website,❌ Sona Erdi,,,,4.000 $,4.000 $,,2.000 $,,,,,,10.000 $,
13,Truvabet,Website+Video,❌ Sona Erdi,,,,,,,,,10.000 $,,,,10.000 $,
14,Betovis,Website+Video,❌ Sona Erdi,,,,,,,,,10.000 $,,,,10.000 $,
15,AMG Bahis,Website,✔️ Anlaşma,,,,,,,,,,10.000 $,,,10.000 $,
16,Maxwin,Website,✔️ Anlaşma,,10.000 $,,,,,,,,,,,10.000 $,
17,Exonbet,Website,✔️ Anlaşma,,10.000 $,,,,,,,,,,,10.000 $,
18,DBbet,Website,✔️ Anlaşma,,,10.000 $,,,,,,,,,,10.000 $,
19,MistyCasino,Website,❌ Sona Erdi,,,,,,6.000 $,3.000 $,,,,,,9.000 $,
20,Mrbahis,Website,✔️ Anlaşma,4.500 $,,,,,,,,,,4.500 $,,9.000 $,
21,Betci,Website,❌ Sona Erdi,,,,,,,,7.000 $,,,,,7.000 $,
22,Cassinox,Website+SosyalMedya+Telegram,❌ Sona Erdi,,,,,,,,,,,,6.500 $,6.500 $,
23,Bettilt,Website+SosyalMedya+Telegram,❌ Sona Erdi,,,5.000 $,,,,,,,,,,5.000 $,
24,NYC Bahis,Website,❌ Sona Erdi,,,,,5.000 $,,,,,,,,5.000 $,
25,Moldebet,Website,❌ Sona Erdi,,,,,,,,,,5.000 $,,,5.000 $,
26,Endorphina,Oyun Tanıtımı,❌ Sona Erdi,,,,2.500 $,2.000 $,,,,,,,,4.500 $,
27,Casibom,Website,❌ Sona Erdi,,,,,,,,3.500 $,,,,,3.500 $,
28,Oynacasino,Website,❌ Sona Erdi,,,,,,,,,3.499 $,,,,3.499 $,
29,Mariobet,Website+SosyalMedya,❌ Sona Erdi,,,,,,,,,,,,,,
30,Bahiscom,Website,❌ Sona Erdi,,,,,,,,,,,,,,
31,Tarafbet,Website,❌ Sona Erdi,,,,,,,,,,,,,,
32,Bankobet,Website,❌ Sona Erdi,,,,,,,,,,,,,,
33,Betewin,Website,❌ Sona Erdi,,,,,,,,,,,,,,
34,Oslobet,Website,❌ Sona Erdi,,,,,,,,,,,,,,
35,Maksibet,Website,❌ Sona Erdi,,,,,,,,,,,,,,
36,Rbet,Website,❌ Sona Erdi,,,,,,,,,,,,,,
37,King Royal,Website,❌ Sona Erdi,,,,,,,,,,,,,,
38,Merit King,Website,❌ Sona Erdi,,,,,,,,,,,,,,
39,Netbahis,Website,✔️ Anlaşma,,,,,,,,,,,,,,
40,Eypbet,Tişört Tanıtım (Website),✔️ Anlaşma,,,,250,,,,,,,,,6250,
FİRMA TOPLAMLAR,,,,26.500 $,34.000 $,64.000 $,15.750 $,16.000 $,11.000 $,37.500 $,33.700 $,30.499 $,38.000 $,23.000 $,35.500 $,371.449 $,
,,,,,,,,,,,,,,,,,
📋  TARİH BAZLI TÜM SPONSOR İŞLEMLERİ,,,,,,,,,,,,,,,,,
#,Tarih,Firma,Mecra / Hizmet,Miktar ($),Durum ▼,TXID / Blockchain Kanıtı,,,,,,,,,,,
1,14.03.2025,Betcom,Website+SosyalMedya+Telegram+Youtube,45.000 $,❌ Sona Erdi,98acbd6e6f928b90518994eeae100d2f33930b6594a62a130088b30f3b24ab2f,,,,,,,,,,,
2,14.03.2025,Mariobet,Website+SosyalMedya,,❌ Sona Erdi,8feb881d7f954e40e1541b0b82f26a7396215c3c3912e1099c033af59736992a,,,,,,,,,,,
3,14.03.2025,Bahiscom,Website,,❌ Sona Erdi,45089e95b23995d865b4f498870378c0fb3eb144a08b7a7181cdce5f8fa56071,,,,,,,,,,,
4,14.03.2025,Tarafbet,Website,,❌ Sona Erdi,cb809406b6577870527944127de6e092f3bc86311cea6492d2e1e56f08bd3031,,,,,,,,,,,
5,14.03.2025,Bankobet,Website,,❌ Sona Erdi,9b5a2fc6bd85da69fe4ac185259f382aa4451aa878fe510e032f139e20d7adc6,,,,,,,,,,,
6,14.03.2025,Betewin,Website,,❌ Sona Erdi,406caf6d445e80fc02e0e6424c6e7d980982e4f2e0fb7996fb813a02f9c00cf3,,,,,,,,,,,
7,20.03.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,❌ Sona Erdi,9ce4317c670265fa967a2580864e694fa3928f52e191bdb1392d5b00b00c861e,,,,,,,,,,,
8,20.03.2025,Bettilt,Website+SosyalMedya+Telegram,5.000 $,❌ Sona Erdi,0eaa847d329e3bf8795b73f8a3bba2ac30cb48d94fab4a9670b25f04d7652125,,,,,,,,,,,
9,01.04.2025,Grandpashabet,Website,4.000 $,❌ Sona Erdi,49d7fd20c60d3c57b6309c577eed0e7d41821bb2833ea4b099e69cb2bd74b1da,,,,,,,,,,,
10,02.04.2025,Pusulabet,Website,5.000 $,❌ Sona Erdi,3a736e613300c664dd4fa9e9b34220a2ea7155df3195ec4409390c25b1e36397,,,,,,,,,,,
11,22.04.2025,Endorphina,Oyun Tanıtımı,2.500 $,❌ Sona Erdi,187852e84873c1239b808d8a26bf3ec0802a805e38b6cc931e504d386fd464ce,,,,,,,,,,,
12,23.04.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,❌ Sona Erdi,a8afe956484455b7253efe56df0cf614b365e564502688aeec469fafb1d1a162,,,,,,,,,,,
